Jurisdiction,Date,Mean,Lower,Upper,date_model_run
Canada,2020-03-08,1,,,2020-04-17
Canada,2020-03-09,0,,,2020-04-17
Canada,2020-03-10,0,,,2020-04-17
Canada,2020-03-11,1,,,2020-04-17
Canada,2020-03-12,0,,,2020-04-17
Canada,2020-03-13,0,,,2020-04-17
Canada,2020-03-14,0,,,2020-04-17
Canada,2020-03-15,0,,,2020-04-17
Canada,2020-03-16,3,,,2020-04-17
Canada,2020-03-17,3,,,2020-04-17
Canada,2020-03-18,1,,,2020-04-17
Canada,2020-03-19,3,,,2020-04-17
Canada,2020-03-20,1,,,2020-04-17
Canada,2020-03-21,5,,,2020-04-17
Canada,2020-03-22,3,,,2020-04-17
Canada,2020-03-23,3,,,2020-04-17
Canada,2020-03-24,3,,,2020-04-17
Canada,2020-03-25,8,,,2020-04-17
Canada,2020-03-26,4,,,2020-04-17
Canada,2020-03-27,16,,,2020-04-17
Canada,2020-03-28,6,,,2020-04-17
Canada,2020-03-29,5,,,2020-04-17
Canada,2020-03-30,24,,,2020-04-17
Canada,2020-03-31,36,,,2020-04-17
Canada,2020-04-01,19,,,2020-04-17
Canada,2020-04-02,25,,,2020-04-17
Canada,2020-04-03,53,,,2020-04-17
Canada,2020-04-04,49,,,2020-04-17
Canada,2020-04-05,30,,,2020-04-17
Canada,2020-04-06,51,,,2020-04-17
Canada,2020-04-07,64,,,2020-04-17
Canada,2020-04-08,55,,,2020-04-17
Canada,2020-04-09,69,,,2020-04-17
Canada,2020-04-10,75,,,2020-04-17
Canada,2020-04-11,74,,,2020-04-17
Canada,2020-04-12,56,,,2020-04-17
Canada,2020-04-13,76,,,2020-04-17
Canada,2020-04-14,145,,,2020-04-17
Canada,2020-04-15,104,,,2020-04-17
Canada,2020-04-16,200,,,2020-04-17
Canada,2020-04-17,146,116,168,2020-04-17
Canada,2020-04-18,145,105,189,2020-04-17
Canada,2020-04-19,143,113,188,2020-04-17
Canada,2020-04-20,141,110,186,2020-04-17
Canada,2020-04-21,141,107,191,2020-04-17
Canada,2020-04-22,139,99,196,2020-04-17
Canada,2020-04-23,137,104,197,2020-04-17
Canada,2020-04-24,137,103,200,2020-04-17
Canada,2020-04-25,138,101,201,2020-04-17
Canada,2020-04-26,138,95,190,2020-04-17
Canada,2020-04-27,141,94,189,2020-04-17
Canada,2020-04-28,144,92,201,2020-04-17
Canada,2020-04-29,147,95,214,2020-04-17
Canada,2020-04-30,153,98,227,2020-04-17
Canada - Quebec,2020-03-18,1,,,2020-04-17
Canada - Quebec,2020-03-19,0,,,2020-04-17
Canada - Quebec,2020-03-20,0,,,2020-04-17
Canada - Quebec,2020-03-21,3,,,2020-04-17
Canada - Quebec,2020-03-22,0,,,2020-04-17
Canada - Quebec,2020-03-23,0,,,2020-04-17
Canada - Quebec,2020-03-24,0,,,2020-04-17
Canada - Quebec,2020-03-25,2,,,2020-04-17
Canada - Quebec,2020-03-26,2,,,2020-04-17
Canada - Quebec,2020-03-27,10,,,2020-04-17
Canada - Quebec,2020-03-28,4,,,2020-04-17
Canada - Quebec,2020-03-29,0,,,2020-04-17
Canada - Quebec,2020-03-30,3,,,2020-04-17
Canada - Quebec,2020-03-31,6,,,2020-04-17
Canada - Quebec,2020-04-01,2,,,2020-04-17
Canada - Quebec,2020-04-02,3,,,2020-04-17
Canada - Quebec,2020-04-03,25,,,2020-04-17
Canada - Quebec,2020-04-04,14,,,2020-04-17
Canada - Quebec,2020-04-05,19,,,2020-04-17
Canada - Quebec,2020-04-06,27,,,2020-04-17
Canada - Quebec,2020-04-07,29,,,2020-04-17
Canada - Quebec,2020-04-08,25,,,2020-04-17
Canada - Quebec,2020-04-09,41,,,2020-04-17
Canada - Quebec,2020-04-10,25,,,2020-04-17
Canada - Quebec,2020-04-11,48,,,2020-04-17
Canada - Quebec,2020-04-12,39,,,2020-04-17
Canada - Quebec,2020-04-13,32,,,2020-04-17
Canada - Quebec,2020-04-14,75,,,2020-04-17
Canada - Quebec,2020-04-15,52,,,2020-04-17
Canada - Quebec,2020-04-16,143,,,2020-04-17
Canada - Quebec,2020-04-17,104,94,110,2020-04-17
Canada - Quebec,2020-04-18,116,97,129,2020-04-17
Canada - Quebec,2020-04-19,128,98,149,2020-04-17
